id,anoFabricacao,cidade,quantidade,siglaEstado,marca,modelo
115,,CACHOEIRO DE ITAPEMIRIM,10,ES,VW,POLO 1.6
116,,NOVA IGUACU,22,RJ,,
117,1996.0,IBATIBA,10,ES,,
118,,,36,,VW,FUSCA 1500
119,2014.0,,18,,HONDA,CG 125 FAN ESD
120,2014.0,CACHOEIRO DE ITAPEMIRIM,14,,HONDA,FIT CX FLEX
121,2015.0,RIO DE JANEIRO,255,,,PUNTO ATTRACTIVE
122,1974.0,PIEN,12,PR,VW,
123,2006.0,,19,BA,GM,ASTRA SEDAN ADVANTAGE
124,2021.0,,12,RJ,,
125,2014.0,,252,AC,HONDA,
126,2013.0,BARRA DA ESTIVA,25,BA,,
127,,,13,MG,,
128,2005.0,VILHENA,12,RO,FORD,FIESTA SEDAN1.6FLEX
129,1998.0,,12,BA,,KOMBI
130,2013.0,ALAGOINHAS,13,BA,DAFRA,
131,1998.0,CORONEL FABRICIANO,26,MG,GM,
132,2012.0,NOVO SAO JOAQUIM,13,MT,,
133,1981.0,PIRACANJUBA,10,GO,VW,
134,2017.0,,20,CE,HONDA,
135,,RIO DE JANEIRO,12,RJ,,
136,,,11,MG,FIAT,PALIO FIRE
137,1999.0,SAO LUIS,11,MA,GM,
138,,BELEM,20,PA,FIAT,MAREA SX
139,,MACAU,23,RN,HONDA,
140,2008.0,ITAUNA,237,MG,,CG 150 TITAN KS
141,2003.0,CARIACICA,36,ES,YAMAHA,
142,2013.0,,51,CE,,L200 TRITON HPE D
143,,,24,MG,HONDA,CG150 FAN ESDI
144,,PENAFORTE,50,CE,HONDA,
145,,IPATINGA,50,MG,HONDA,BIZ 125 ES
146,,CAMPOS DOS GOYTACAZES,230,RJ,,FUSCA
147,,MANAUS,229,AM,,GOL CL
148,2011.0,QUATIGUA,12,PR,HONDA,
149,1997.0,,225,,,
150,2007.0,,14,GO,SUNDOWN,HUNTER 100
151,,IVATE,20,PR,,
152,1996.0,RIO PRETO,29,MG,VW,
153,2019.0,GOVERNADOR VALADARES,19,MG,FORD,
154,1998.0,PITANGUI,45,MG,,
155,2008.0,,34,ES,,CG 125 FAN
156,2005.0,,13,AM,HONDA,NXR150BROS CARGO K
157,2019.0,MACEIO,219,AL,HONDA,XRE 300 ABS
158,,CARPINA,14,PE,VW,
159,2015.0,ITABORAI,32,,,SIENA ATTRACTIV 1.4
160,2021.0,,17,MT,CHEV,TRACKER 12T A PR
161,1984.0,,12,MG,,
162,,PORTO DA FOLHA,20,SE,HONDA,
163,,NATAL,34,RN,HONDA,
164,2018.0,DIAS D'AVILA,14,BA,,
165,,,22,MG,HONDA,NXR160 BROS ESD
166,2020.0,PAULISTA,211,PE,,
167,2011.0,SAO TOME,13,PR,HONDA,BIZ 125 ES
168,2006.0,MARIO CAMPOS,14,MG,,
169,1988.0,CAMPOS DOS GOYTACAZES,38,,FORD,ESCORT XR3
170,2010.0,,23,RJ,HONDA,NXR150BROS MIX ESD
171,2020.0,CURURUPU,12,,HONDA,BIZ 125
172,2007.0,,10,TO,HONDA,BIZ 125 ES
173,1994.0,RIO DE JANEIRO,205,RJ,,CITROEN ZX 2.0I VOLC
174,2007.0,CAPELA,12,SE,VW,GOL 1.0
175,2011.0,CODO,204,MA,,
176,1979.0,VARGINHA,24,MG,VW,PASSAT
177,2001.0,,20,RR,,S10 DE LUXE 2.8 D
178,,SENADOR FIRMINO,10,,HONDA,CG150 FAN ESDI
179,1998.0,,19,PE,GM,CORSA WIND
180,2010.0,BRASILIA,202,DF,,VOYAGE 1.6
181,2015.0,VILA VELHA,11,ES,FORD,KA SEL 1.5 HA
182,,DUQUE DE CAXIAS,13,RJ,,ELBA S
183,2003.0,SAO JOAO DO PARAISO,32,MG,HONDA,CG 125 TITAN KSE
184,2007.0,,13,,FORD,FIESTA FLEX
185,,,14,MG,VOLVO,
186,1993.0,MAGE,32,RJ,VW,
187,1972.0,CASCAVEL,198,PR,VW,FUSCA 1500
188,1996.0,,12,MG,FIAT,UNO MILLE EP
189,1991.0,,13,PR,,SAO CARLOS C-1
190,2005.0,,10,PR,,IDEA ELX FLEX
191,2008.0,VILA VELHA,196,ES,VW,GOL 1.0
192,2016.0,,10,CE,HONDA,
193,,,10,GO,YAMAHA,NMAX
194,2007.0,RIO DE JANEIRO,32,,VW,
195,,PARANATAMA,22,,HONDA,CG 150 TITAN KS
196,2012.0,SENGES,20,PR,FIAT,
197,1991.0,CAMPOS DOS GOYTACAZES,42,RJ,,APOLLO GL
198,2008.0,,13,AL,HONDA,
199,2016.0,MARICA,27,RJ,HONDA,CG 160 FAN ESDI
200,1990.0,INHUMAS,19,GO,,CG 125 TODAY
201,2014.0,,22,,,
202,2007.0,ITAGUARI,22,GO,,GOL 1.0
203,,,48,PR,,
204,2016.0,CAMPO GRANDE,189,,,
205,,,23,AM,HONDA,NXR150 BROS ES
206,1981.0,CUIABA,44,MT,FORD,CORCEL II L
207,2006.0,SUMIDOURO,16,RJ,,CG 150 TITAN KS
208,2008.0,MURIAE,185,MG,HONDA,CG 150 TITAN KS
209,2014.0,,12,,,NXR150 BROS ESD
210,2012.0,,39,MG,,
211,,,15,GO,,CG 150 TITAN EX
212,,FORTALEZA,183,CE,,RENEGADE LNGTD AT D
213,,,22,,HONDA,NXR150 BROS ES
214,,CONSELHEIRO LAFAIETE,10,MG,YAMAHA,YBR 125ED
215,,CAMPO GRANDE,182,MS,GM,CELTA 2P LIFE
216,1999.0,SURUBIM,181,PE,HONDA,
217,2011.0,,14,PE,,
218,1993.0,RIO DE JANEIRO,179,RJ,FIAT,
219,2002.0,,10,PR,,
220,2001.0,NOVA SANTA ROSA,12,PR,VW,GOL SPECIAL
221,2005.0,RIO DE JANEIRO,178,RJ,,PICASSO 16 GLX
222,2014.0,,21,MG,FIAT,PALIO SPORTING 1.6
223,1976.0,,14,PR,VW,KOMBI
224,2004.0,JANAUBA,10,MG,,
225,2020.0,PAULO AFONSO,175,BA,HONDA,
226,2001.0,ANANINDEUA,14,PA,,COROLLA XEI
227,,SANTA LUZIA,174,MG,VW,GOL 1.0
228,1985.0,SERRA,34,ES,,FUSCA
229,,PONTA GROSSA,17,PR,NISSAN,VERSA 16 UNIQUE
230,2009.0,,26,GO,,BIZ 125 KS
231,2021.0,BOQUIM,13,SE,HONDA,CG 160 CARGO
232,1982.0,,15,MG,TOYOTA,BANDEIRANTE
233,1987.0,ANANINDEUA,35,PA,,
234,1997.0,RIO AZUL,17,,,CG 125 TITAN
235,2010.0,SETE LAGOAS,172,MG,HONDA,
236,2020.0,,15,,HONDA,POP 110I
237,2014.0,,172,PE,VW,
238,1986.0,,18,PR,,
239,2011.0,,11,PR,,
240,2008.0,URUARA,27,,,GOL 1.0
241,2009.0,GOIANIA,169,,FIAT,STRADA FIRE FLEX
242,2007.0,,26,,HONDA,
243,1973.0,PARACAMBI,12,RJ,,
244,,DOIS RIACHOS,31,AL,HONDA,CG 125 TITAN KS
245,2001.0,BOM JARDIM,13,MA,HONDA,
246,2015.0,RIO DAS OSTRAS,19,RJ,FIAT,
247,,MARABA,22,,TRAXX,JL50 Q2
248,2021.0,,48,RN,FIAT,SIENA 1.4
249,2016.0,,11,PR,FORD,
250,,GOIANIA,11,GO,PEUGEOT,206SW 16FE FXA
251,1973.0,,17,PR,,
252,2006.0,IMPERATRIZ,20,MA,VW,
253,1994.0,BRASILIA,13,DF,,GOL FURGAO
254,2016.0,UNAI,13,,FIAT,
255,2003.0,UBERABA,162,MG,HONDA,CG 125 TITAN KSE
256,2005.0,LAGOA DO ITAENGA,31,PE,,CG 150 TITAN KS
257,1988.0,CURITIBA,10,PR,AGRALE,SXT 16.5
258,1989.0,NITEROI,52,RJ,HONDA,
259,,ARAUCARIA,159,PR,,CG 125 FAN
260,2011.0,PONTA GROSSA,43,PR,YAMAHA,FACTOR YBR125 K
261,2012.0,NOVA VENECIA,44,,HONDA,
262,2015.0,NOVA LIMA,18,MG,,STRADA WORKING
263,2016.0,UBERLANDIA,41,MG,VW,
264,2009.0,,157,MS,,
265,1976.0,ITABORAI,26,RJ,,L 1113
266,2014.0,SALINAS,10,MG,,HB20 1.0M COMFOR
267,2014.0,MANAUS,25,AM,,
268,2008.0,,32,,,
269,,,30,ES,HONDA,
270,2005.0,CARIUS,11,CE,HONDA,C100 BIZ
271,1981.0,TERRA RICA,11,PR,,
272,2018.0,FRUTAL,14,,,YBR125I FACTOR ED
273,,,12,GO,,JL50Q-8
274,2013.0,,31,TO,,T115 CRYPTON ED
275,2011.0,,14,PR,VW,
276,,ANTONINA DO NORTE,28,CE,HONDA,CG 125 TITAN KS
277,2001.0,PIRAI DO SUL,23,PR,GM,CELTA
278,2006.0,BARRA LONGA,13,MG,HONDA,
279,2014.0,ALFENAS,13,,,PRISMA 1.4MT LTZ
280,,,31,,,
281,2007.0,,33,ES,TOYOTA,COROLLA XEI18VVT
282,2001.0,,33,MG,FIAT,PALIO ELX
283,,,13,,FORD,KA FLEX
284,2012.0,,11,PR,,VOYAGE 1.6 COMFORTL
285,2020.0,,10,CE,,CG 160 TITAN
286,2013.0,ALTAMIRA,25,PA,CHEVROLET,CELTA 1.0L LT
287,,,36,MG,FIAT,UNO MILLE WAY ECON
288,1997.0,,14,,,FORD ESCORT GLX 16V
289,2015.0,MAGE,41,RJ,,CB 300R
290,,CAREIRO,12,AM,HONDA,
291,2001.0,CAMPO GRANDE,16,AL,HONDA,CG 125 TITAN KS
292,1971.0,ANAPOLIS,11,,GM,
293,2016.0,ARARIPINA,46,PE,HONDA,
294,2011.0,,10,PA,SR,
295,2000.0,ITAMARANDIBA,12,MG,,
296,2020.0,CAUCAIA,12,CE,,STRADA ENDURANCE CS
297,2010.0,SALVADOR,144,BA,GM,
298,,PRIMAVERA DO LESTE,16,MT,,ECOSPORT XLT1.6FLEX
299,,CAMPINA GRANDE DO SUL,11,PR,,STRADA HD WK CC E
300,1992.0,CURITIBA,144,PR,,SANTANA GL 2000
301,2016.0,,144,CE,,NXR 160 BROS
302,2014.0,,12,MG,,
303,2011.0,SAO JOAO DEL REI,12,MG,DAFRA,TVS APACHE RTR 150
304,2017.0,,10,MG,,
305,2021.0,,18,RO,DAF,
306,2014.0,TERESOPOLIS,23,RJ,RENAULT,SANDERO STEP 16
307,,OLINDA,11,PE,JEEP,RENEGADE SPORT AT
308,2014.0,BELEM,20,PA,MOTO TRAXX,
309,2014.0,,11,,HONDA,BIZ 100 ES
310,2011.0,,140,RJ,,
311,2005.0,LAGARTO,52,SE,,
312,,ARAPONGAS,15,PR,GM,MERIVA MAXX
313,,,140,,,HB20 1.0M COMFOR
314,2004.0,,18,BA,,
315,,BRASILIA,139,DF,NISSAN,KICKS S CVT
316,2018.0,,12,PE,FORD,ECOSPORT FSL AT 1.5
317,,JAPERI,26,RJ,,YBR150 FACTOR ED
318,2007.0,VITORIA,41,ES,HONDA,BIZ 125 MAIS
319,2015.0,,139,CE,VW,SAVEIRO CS ST MB
320,2008.0,,19,MG,FIAT,PALIO FIRE FLEX
321,1997.0,FAZENDA RIO GRANDE,12,PR,VW,KOMBI
322,2011.0,BORDA DA MATA,18,,FIAT,UNO MILLE ECONOMY
323,2014.0,,12,BA,,STRADA WORKING CD
324,1992.0,BETIM,15,,FIAT,ELBA CSL 1.6
325,2003.0,,15,,FIAT,
326,2014.0,,13,PR,,
327,2012.0,,27,PE,HONDA,FIT TWIST
328,2008.0,,10,,HONDA,
329,,FORMOSA,134,GO,,
330,2013.0,JUTAI,18,AM,HONDA,
331,2006.0,GUARANTA DO NORTE,11,MT,,HUNTER 90
332,,,18,MG,GM,CORSA SEDAN MAXX
333,2006.0,NITEROI,18,RJ,,ECOSPORT XLT
334,2008.0,CASCAVEL,41,PR,,POLO SEDAN 1.6
335,,,30,BA,FORD,CARGO 1517 E
336,1996.0,ARAPIRACA,17,AL,FIAT,PALIO EL
337,,,12,,FIAT,
338,2012.0,IRATI,12,PR,HONDA,
339,2014.0,LAURO DE FREITAS,13,,HONDA,
340,,,11,PI,,
341,2007.0,BELO HORIZONTE,30,,,PUNTO 1.4
342,,BARREIRAS,26,BA,FIAT,UNO ATTRACTIVE 1.0
343,2001.0,,12,,VW,
344,1989.0,,10,PR,,
345,,,10,PE,HONDA,
